Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNNCRF'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
            184 |         563.36 |          57.85 |          54.52 |          55.96 
            185 |         588.81 |          57.14 |          54.05 |          57.00 
            186 |         627.98 |          57.80 |          53.81 |          56.44 
            187 |         591.21 |          57.22 |          53.71 |          55.68 
            188 |         613.13 |          57.16 |          54.36 |          56.02 
            189 |         620.48 |          57.92 |          54.97 |          57.06 
            190 |         549.93 |          56.91 |          54.67 |          56.13 
            191 |         596.12 |          58.47 |          54.98 |          56.80 
            192 |         581.26 |          58.20 |          54.35 |          56.25 
            193 |         591.70 |          57.61 |          54.28 |          56.26 
            194 |         570.65 |          57.32 |          54.00 |          56.20 
            195 |         592.73 |          58.56 |          55.01 |          57.26 
            196 |         677.78 |          58.80 |          54.95 |          57.49 
            197 |         608.98 |          58.40 |          54.35 |          56.76 
            198 |         573.56 |          57.38 |          54.10 |          56.86 
            199 |         576.67 |          58.43 |          55.26 |          57.73 
            200 |         562.30 |          58.19 |          54.24 |          56.78 
            201 |         560.38 |          58.39 |          54.43 |          57.98 
            202 |         613.16 |          59.32 |          55.32 |          58.04 
            203 |         595.29 |          59.66 |          55.61 |          57.43 
            204 |         590.52 |          60.07 |          55.97 |          58.13 
            205 |         578.93 |          58.63 |          55.47 |          57.63 
            206 |         532.72 |          60.44 |          55.04 |          57.38 
            207 |         565.46 |          59.12 |          55.40 |          58.17 
            208 |         543.32 |          58.39 |          54.32 |          56.67 
            209 |         552.49 |          59.21 |          55.42 |          57.81 
            210 |         587.32 |          59.48 |          55.21 |          58.40 
            211 |         652.39 |          59.27 |          55.59 |          58.02 
            212 |         618.25 |          59.84 |          55.05 |          58.46 
            213 |         547.60 |          59.05 |          55.25 |          58.23 
            214 |         591.50 |          59.46 |          54.79 |          57.44 
            215 |         565.87 |          59.23 |          53.85 |          57.51 
            216 |         533.50 |          59.09 |          54.94 |          58.05 
            217 |         531.06 |          59.14 |          55.00 |          58.16 
            218 |         586.99 |          59.67 |          54.58 |          58.76 
            219 |         630.68 |          59.13 |          54.44 |          58.12 
            220 |         632.79 |          60.26 |          54.81 |          57.67 
            221 |         559.23 |          59.86 |          54.82 |          57.94 
            222 |         561.35 |          58.99 |          54.42 |          58.33 
            223 |         593.19 |          59.74 |          54.72 |          58.56 
            224 |         588.74 |          60.02 |          54.15 |          58.70 
            225 |         542.19 |          59.89 |          54.75 |          59.16 
            226 |         586.68 |          59.16 |          54.18 |          57.62 
            227 |         541.00 |          59.94 |          54.84 |          58.00 
            228 |         624.90 |          60.33 |          55.41 |          59.00 
            229 |         560.69 |          60.44 |          55.06 |          58.61 
            230 |         615.80 |          60.23 |          55.26 |          58.12 
            231 |         550.78 |          60.74 |          55.78 |          58.49 
            232 |         581.07 |          61.83 |          55.84 |          60.01 
            233 |         578.49 |          61.58 |          55.63 |          58.88 
            234 |         584.18 |          61.13 |          55.90 |          59.23 
            235 |         548.05 |          60.59 |          55.74 |          58.92 
            236 |         531.93 |          61.28 |          56.16 |          59.67 
            237 |         590.25 |          60.19 |          55.28 |          59.58 
            238 |         515.15 |          61.19 |          55.03 |          59.56 
            239 |         576.93 |          60.48 |          55.32 |          59.17 
            240 |         608.73 |          61.19 |          55.59 |          59.28 
            241 |         599.40 |          61.98 |          55.16 |          59.77 
            242 |         587.38 |          61.22 |          55.30 |          59.25 
            243 |         580.06 |          60.16 |          54.74 |          58.08 
            244 |         595.84 |          61.30 |          55.93 |          59.04 
            245 |         526.31 |          61.33 |          55.92 |          59.51 
            246 |         556.27 |          61.14 |          56.19 |          58.36 
            247 |         617.08 |          60.24 |          55.40 |          59.00 
            248 |         507.26 |          60.68 |          54.86 |          58.71 
            249 |         594.67 |          60.99 |          54.38 |          57.97 
            250 |         592.02 |          61.94 |          55.24 |          59.14 
            251 |         539.45 |          60.77 |          54.85 |          59.11 
            252 |         527.48 |          60.39 |          54.81 |          58.97 
            253 |         542.87 |          60.64 |          55.01 |          59.08 
            254 |         637.61 |          60.94 |          55.34 |          58.79 
            255 |         553.24 |          60.47 |          55.26 |          60.09 
            256 |         583.57 |          60.99 |          55.19 |          59.54 
            257 |         547.65 |          60.89 |          55.05 |          58.79 
            258 |         637.74 |          61.09 |          55.61 |          59.08 
            259 |         625.53 |          60.49 |          55.93 |          59.06 
            260 |         591.31 |          60.22 |          55.54 |          58.98 
            261 |         607.58 |          60.77 |          54.73 |          58.55 
            262 |         550.85 |          61.63 |          55.53 |          58.92 
            263 |         553.13 |          60.52 |          54.35 |          57.88 
            264 |         619.01 |          61.05 |          55.17 |          59.01 
            265 |         536.83 |          60.76 |          55.21 |          58.52 
            266 |         564.52 |          61.07 |          55.18 |          58.61 
            267 |         487.87 |          61.10 |          55.33 |          59.13 
            268 |         529.06 |          61.29 |          55.14 |          59.25 
            269 |         591.77 |          61.95 |          55.86 |          59.81 
            270 |         545.51 |          61.47 |          55.33 |          59.37 
            271 |         501.24 |          61.72 |          55.45 |          59.08 
            272 |         539.81 |          62.36 |          55.39 |          60.13 
            273 |         485.35 |          62.47 |          56.14 |          60.11 
            274 |         548.31 |          61.93 |          55.67 |          59.63 
            275 |         563.90 |          61.98 |          55.97 |          60.12 
            276 |         556.05 |          62.02 |          55.96 |          59.58 
            277 |         587.82 |          62.30 |          56.06 |          59.30 
            278 |         508.89 |          62.14 |          55.28 |          58.98 
            279 |         603.47 |          62.45 |          55.64 |          59.76 
            280 |         521.38 |          62.35 |          56.39 |          59.98 
            281 |         561.30 |          61.74 |          55.88 |          59.09 
            282 |         546.79 |          62.53 |          56.60 |          60.45 
            283 |         526.68 |          62.31 |          55.96 |          60.07 
            284 |         559.84 |          62.93 |          57.00 |          60.83 
            285 |         581.24 |          63.10 |          56.94 |          60.79 
            286 |         571.93 |          62.81 |          57.39 |          60.67 
            287 |         580.45 |          63.54 |          56.67 |          61.15 
            288 |         546.90 |          63.97 |          56.07 |          60.95 
            289 |         519.32 |          61.56 |          56.32 |          59.45 
            290 |         455.73 |          62.15 |          56.49 |          59.70 
            291 |         583.65 |          62.73 |          57.45 |          60.46 
            292 |         508.23 |          63.29 |          56.58 |          60.04 
            293 |         550.97 |          64.06 |          57.05 |          60.61 
            294 |         542.50 |          62.87 |          56.78 |          60.17 
            295 |         569.72 |          63.66 |          56.33 |          60.45 
            296 |         511.01 |          62.91 |          56.69 |          60.44 
            297 |         543.26 |          64.63 |          56.88 |          61.50 
            298 |         548.57 |          63.28 |          57.32 |          60.79 
            299 |         534.54 |          63.32 |          56.49 |          61.64 
            300 |         526.83 |          63.19 |          57.11 |          61.06 
            301 |         520.24 |          63.46 |          57.67 |          61.15 
            302 |         577.55 |          62.55 |          57.12 |          60.80 
            303 |         566.41 |          63.43 |          56.98 |          60.60 
            304 |         539.78 |          64.05 |          57.30 |          61.35 
            305 |         518.64 |          64.18 |          57.12 |          61.34 
            306 |         541.27 |          65.17 |          57.16 |          60.86 
            307 |         501.49 |          64.38 |          57.13 |          62.03 
            308 |         499.91 |          64.05 |          56.94 |          61.22 
            309 |         515.67 |          63.47 |          55.60 |          60.14 
            310 |         580.74 |          62.87 |          56.74 |          60.76 
            311 |         519.92 |          63.83 |          57.31 |          61.22 
            312 |         519.83 |          64.91 |          56.59 |          60.61 
            313 |         516.01 |          64.41 |          57.56 |          61.22 
            314 |         502.95 |          64.22 |          57.45 |          61.20 
            315 |         510.74 |          63.55 |          57.28 |          61.48 
