Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=1024
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-large-cased'
patience=100
report_fn='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
            148 |          74.76 |          68.82 |          63.08 |          67.41 
            149 |          75.39 |          69.18 |          63.33 |          67.95 
            150 |          77.85 |          68.30 |          62.09 |          66.67 
            151 |          76.98 |          69.65 |          63.57 |          68.55 
            152 |          77.59 |          69.48 |          62.53 |          67.32 
            153 |          71.51 |          70.04 |          62.81 |          68.03 
            154 |          76.18 |          69.37 |          62.74 |          67.25 
            155 |          78.89 |          69.42 |          63.02 |          66.70 
            156 |          75.96 |          69.51 |          62.90 |          67.19 
            157 |          81.53 |          70.45 |          63.18 |          67.76 
            158 |          72.06 |          69.99 |          63.26 |          67.55 
            159 |          76.27 |          68.78 |          62.57 |          66.83 
            160 |          73.11 |          71.23 |          64.15 |          67.96 
            161 |          75.73 |          69.59 |          62.17 |          66.39 
            162 |          85.24 |          69.77 |          62.47 |          66.60 
            163 |          76.61 |          70.31 |          63.48 |          67.70 
            164 |          80.90 |          69.94 |          62.52 |          67.09 
            165 |          70.33 |          69.22 |          62.66 |          66.66 
            166 |          78.43 |          69.37 |          62.59 |          66.28 
            167 |          78.51 |          70.08 |          63.84 |          67.90 
            168 |          81.17 |          70.62 |          64.07 |          68.03 
            169 |          77.82 |          69.22 |          63.04 |          67.34 
            170 |          73.55 |          69.12 |          63.09 |          67.65 
            171 |          81.12 |          70.35 |          64.08 |          67.96 
            172 |          81.72 |          70.48 |          64.33 |          67.59 
            173 |          76.04 |          69.81 |          63.36 |          67.18 
            174 |          81.49 |          70.42 |          63.19 |          67.14 
            175 |          74.35 |          67.82 |          62.52 |          65.56 
            176 |          77.77 |          69.82 |          62.96 |          66.64 
            177 |          77.97 |          68.78 |          62.40 |          65.94 
            178 |          83.79 |          68.79 |          62.57 |          66.09 
            179 |          78.23 |          70.33 |          63.55 |          67.48 
            180 |          76.55 |          69.71 |          63.32 |          67.14 
            181 |          76.34 |          70.13 |          63.60 |          67.57 
            182 |          76.47 |          69.04 |          63.20 |          66.66 
            183 |          77.29 |          69.60 |          63.77 |          67.01 
            184 |          71.11 |          71.03 |          64.48 |          68.20 
            185 |          74.97 |          71.04 |          64.56 |          68.23 
            186 |          77.82 |          69.88 |          63.03 |          66.87 
            187 |          74.83 |          70.45 |          63.88 |          67.27 
            188 |          71.91 |          70.77 |          63.65 |          67.81 
            189 |          77.32 |          70.93 |          64.14 |          68.01 
            190 |          74.43 |          70.44 |          63.13 |          67.40 
            191 |          75.26 |          70.32 |          63.21 |          67.31 
            192 |          74.20 |          69.98 |          63.08 |          67.06 
            193 |          71.76 |          69.90 |          63.20 |          67.05 
            194 |          74.10 |          69.91 |          63.74 |          67.22 
            195 |          75.94 |          71.46 |          64.68 |          68.63 
            196 |          85.89 |          72.11 |          65.77 |          68.55 
            197 |          79.74 |          71.74 |          64.80 |          68.75 
            198 |          77.54 |          72.09 |          64.98 |          68.96 
            199 |          77.04 |          71.54 |          64.65 |          68.68 
            200 |          73.28 |          70.50 |          63.05 |          67.49 
            201 |          74.37 |          70.09 |          62.77 |          67.31 
            202 |          79.65 |          70.45 |          64.07 |          67.82 
            203 |          75.51 |          72.16 |          64.64 |          68.78 
            204 |          79.12 |          71.60 |          64.57 |          68.35 
            205 |          76.95 |          69.81 |          63.10 |          67.37 
            206 |          70.23 |          70.98 |          62.94 |          67.59 
            207 |          73.07 |          70.10 |          63.43 |          67.18 
            208 |          66.56 |          70.19 |          63.74 |          67.35 
            209 |          76.16 |          71.70 |          63.76 |          69.34 
            210 |          74.54 |          71.16 |          63.47 |          68.33 
            211 |          75.92 |          72.10 |          64.18 |          68.95 
            212 |          79.44 |          72.01 |          65.02 |          70.01 
            213 |          71.34 |          70.77 |          63.90 |          68.45 
            214 |          76.30 |          71.71 |          64.57 |          69.18 
            215 |          73.21 |          70.73 |          63.28 |          67.27 
            216 |          74.95 |          71.02 |          63.96 |          68.08 
            217 |          69.16 |          70.71 |          63.67 |          67.69 
            218 |          73.92 |          70.92 |          63.83 |          67.43 
            219 |          80.60 |          70.99 |          63.84 |          67.52 
            220 |          80.76 |          71.30 |          64.89 |          68.35 
            221 |          73.96 |          71.72 |          64.72 |          68.83 
            222 |          72.54 |          70.16 |          63.15 |          66.49 
            223 |          75.90 |          71.55 |          64.53 |          68.70 
            224 |          71.94 |          71.28 |          64.24 |          68.44 
            225 |          73.47 |          70.47 |          63.81 |          67.34 
            226 |          74.15 |          70.75 |          63.84 |          67.49 
            227 |          71.91 |          71.69 |          64.55 |          68.39 
            228 |          78.65 |          72.20 |          65.16 |          68.95 
            229 |          72.95 |          72.42 |          65.35 |          69.14 
            230 |          77.05 |          71.78 |          64.81 |          68.12 
            231 |          71.53 |          70.63 |          64.29 |          66.80 
            232 |          74.80 |          71.37 |          64.66 |          68.91 
            233 |          74.37 |          71.96 |          65.09 |          68.72 
            234 |          77.13 |          71.69 |          64.86 |          68.91 
            235 |          70.79 |          71.47 |          64.55 |          68.51 
            236 |          65.69 |          70.86 |          63.78 |          67.63 
            237 |          73.01 |          71.91 |          64.96 |          68.75 
            238 |          70.48 |          71.85 |          64.72 |          68.13 
            239 |          72.55 |          71.89 |          63.83 |          68.69 
            240 |          76.60 |          72.01 |          64.65 |          68.75 
            241 |          74.00 |          72.39 |          64.85 |          68.93 
            242 |          74.73 |          71.55 |          64.39 |          68.13 
            243 |          78.99 |          70.94 |          64.00 |          67.89 
            244 |          79.48 |          72.44 |          65.32 |          69.26 
            245 |          70.80 |          72.00 |          65.17 |          69.68 
            246 |          73.60 |          72.32 |          65.65 |          69.36 
            247 |          77.73 |          71.78 |          64.67 |          69.21 
            248 |          65.90 |          72.35 |          64.66 |          68.44 
            249 |          78.04 |          72.70 |          65.35 |          69.23 
            250 |          77.14 |          70.66 |          63.54 |          67.56 
            251 |          72.43 |          72.19 |          64.63 |          68.41 
            252 |          71.28 |          71.30 |          64.40 |          67.99 
            253 |          72.45 |          71.57 |          64.55 |          68.48 
            254 |          77.49 |          72.53 |          64.99 |          68.48 
            255 |          72.51 |          72.60 |          65.09 |          69.36 
            256 |          78.16 |          71.87 |          64.33 |          68.52 
            257 |          71.65 |          72.46 |          64.93 |          68.68 
            258 |          78.47 |          72.46 |          64.23 |          68.70 
            259 |          76.34 |          71.66 |          64.34 |          68.61 
            260 |          75.22 |          71.38 |          63.96 |          68.10 
            261 |          77.08 |          71.01 |          63.49 |          67.85 
            262 |          70.41 |          72.21 |          64.96 |          68.56 
            263 |          72.25 |          71.71 |          64.23 |          67.85 
            264 |          78.24 |          71.74 |          64.59 |          67.99 
            265 |          70.48 |          71.77 |          64.69 |          68.47 
            266 |          72.41 |          70.56 |          63.41 |          67.28 
            267 |          65.09 |          71.64 |          64.17 |          68.62 
            268 |          72.02 |          71.79 |          64.06 |          67.70 
            269 |          78.87 |          72.60 |          64.84 |          68.95 
