Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNN-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
            816 |          37.37 |          80.69 |          57.19 |          62.55 
            817 |          32.84 |          80.08 |          56.35 |          62.74 
            818 |          30.72 |          80.46 |          56.58 |          62.92 
            819 |          32.09 |          80.08 |          56.17 |          62.76 
            820 |          32.37 |          80.84 |          57.23 |          63.10 
            821 |          36.13 |          80.87 |          57.41 |          62.70 
            822 |          31.06 |          80.59 |          57.33 |          62.88 
            823 |          35.53 |          80.65 |          57.09 |          62.38 
            824 |          34.55 |          80.23 |          56.99 |          62.17 
            825 |          37.88 |          80.82 |          58.06 |          63.08 
            826 |          34.73 |          80.76 |          57.11 |          62.52 
            827 |          36.00 |          80.85 |          57.26 |          62.15 
            828 |          34.67 |          80.33 |          56.51 |          62.09 
            829 |          36.99 |          80.57 |          57.66 |          62.37 
            830 |          38.51 |          79.80 |          56.49 |          62.10 
            831 |          33.23 |          79.88 |          56.31 |          61.73 
            832 |          35.37 |          80.24 |          56.37 |          62.58 
            833 |          32.76 |          80.27 |          57.34 |          62.17 
            834 |          34.29 |          80.76 |          57.89 |          62.52 
            835 |          31.12 |          80.20 |          57.76 |          62.44 
            836 |          35.37 |          80.55 |          57.66 |          62.52 
            837 |          31.35 |          79.88 |          57.18 |          62.54 
            838 |          33.49 |          80.35 |          57.61 |          62.58 
            839 |          31.29 |          80.06 |          57.26 |          62.18 
            840 |          31.29 |          80.49 |          57.29 |          62.61 
            841 |          31.98 |          80.52 |          57.91 |          63.10 
            842 |          32.87 |          80.45 |          57.79 |          62.92 
            843 |          33.73 |          80.73 |          58.71 |          63.11 
            844 |          29.74 |          80.43 |          57.77 |          62.55 
            845 |          33.35 |          80.56 |          57.99 |          63.21 
            846 |          32.93 |          80.01 |          57.29 |          62.85 
            847 |          34.38 |          80.74 |          58.13 |          62.96 
            848 |          33.94 |          80.98 |          57.73 |          62.93 
            849 |          35.44 |          80.73 |          57.26 |          63.09 
            850 |          34.74 |          81.14 |          57.54 |          62.86 
            851 |          33.05 |          81.25 |          57.72 |          63.28 
            852 |          30.03 |          81.19 |          57.64 |          63.47 
            853 |          34.93 |          81.48 |          59.03 |          63.61 
            854 |          35.22 |          81.52 |          58.23 |          63.54 
            855 |          36.96 |          81.46 |          57.94 |          63.39 
            856 |          34.87 |          80.73 |          57.21 |          62.98 
            857 |          29.27 |          81.11 |          58.07 |          63.38 
            858 |          32.11 |          80.84 |          57.12 |          63.00 
            859 |          32.25 |          81.17 |          57.96 |          62.95 
            860 |          35.06 |          80.92 |          57.65 |          62.63 
            861 |          35.67 |          81.43 |          57.93 |          63.34 
            862 |          30.99 |          81.35 |          57.56 |          62.90 
            863 |          28.74 |          81.89 |          58.13 |          63.71 
            864 |          32.19 |          81.63 |          58.27 |          63.54 
            865 |          30.80 |          81.87 |          58.58 |          63.97 
            866 |          31.64 |          81.83 |          57.88 |          63.10 
            867 |          38.01 |          82.14 |          58.21 |          63.39 
            868 |          36.54 |          81.65 |          57.42 |          63.25 
            869 |          34.50 |          80.69 |          57.38 |          63.13 
            870 |          30.70 |          81.30 |          57.23 |          63.12 
            871 |          33.45 |          81.34 |          56.78 |          62.67 
            872 |          29.28 |          81.58 |          58.33 |          63.81 
            873 |          32.50 |          81.47 |          58.14 |          63.74 
            874 |          33.80 |          81.08 |          58.06 |          63.32 
            875 |          33.05 |          81.83 |          57.78 |          63.85 
            876 |          34.79 |          82.06 |          57.47 |          63.82 
            877 |          34.87 |          81.28 |          56.65 |          62.33 
            878 |          31.58 |          82.23 |          57.86 |          63.56 
            879 |          37.13 |          81.84 |          57.57 |          62.67 
            880 |          29.05 |          82.47 |          58.64 |          63.32 
            881 |          32.95 |          81.39 |          57.87 |          62.99 
            882 |          33.83 |          82.07 |          58.66 |          63.23 
            883 |          38.07 |          82.04 |          57.66 |          62.99 
            884 |          34.51 |          81.15 |          57.43 |          62.80 
            885 |          32.91 |          81.21 |          56.48 |          61.93 
            886 |          33.95 |          81.82 |          57.66 |          62.39 
            887 |          32.62 |          81.72 |          58.08 |          62.79 
            888 |          32.37 |          81.40 |          57.63 |          63.10 
            889 |          32.79 |          82.01 |          58.21 |          63.65 
            890 |          31.56 |          81.87 |          58.14 |          63.29 
            891 |          37.44 |          81.72 |          57.92 |          63.28 
            892 |          34.01 |          82.02 |          57.94 |          64.00 
            893 |          34.16 |          81.50 |          57.99 |          63.73 
            894 |          40.22 |          81.76 |          57.55 |          63.90 
            895 |          35.35 |          82.08 |          57.98 |          63.50 
            896 |          34.73 |          81.58 |          57.34 |          63.48 
            897 |          32.19 |          81.58 |          57.98 |          63.16 
            898 |          31.69 |          82.20 |          57.66 |          63.30 
            899 |          33.74 |          81.84 |          58.45 |          63.80 
            900 |          33.79 |          81.95 |          57.43 |          62.93 
            901 |          33.06 |          81.74 |          57.91 |          63.18 
            902 |          33.95 |          81.67 |          57.83 |          63.14 
            903 |          35.29 |          81.76 |          58.29 |          63.17 
            904 |          36.31 |          81.68 |          58.05 |          63.27 
            905 |          34.42 |          81.82 |          57.76 |          63.08 
            906 |          33.06 |          81.32 |          56.67 |          63.19 
            907 |          33.78 |          81.49 |          56.78 |          62.90 
            908 |          33.22 |          81.77 |          56.84 |          63.33 
            909 |          29.73 |          81.82 |          57.38 |          63.16 
            910 |          31.15 |          81.40 |          56.68 |          62.70 
            911 |          34.97 |          82.01 |          58.03 |          63.71 
            912 |          32.88 |          81.68 |          57.39 |          63.00 
            913 |          33.81 |          81.46 |          57.51 |          63.27 
            914 |          32.28 |          81.54 |          57.01 |          62.32 
            915 |          33.79 |          81.35 |          57.36 |          62.57 
            916 |          33.06 |          81.81 |          57.78 |          62.50 
            917 |          31.84 |          82.06 |          57.65 |          62.92 
            918 |          30.48 |          81.24 |          57.45 |          62.67 
            919 |          34.00 |          81.24 |          57.02 |          62.66 
            920 |          32.95 |          81.46 |          56.90 |          62.47 
            921 |          32.12 |          81.55 |          56.95 |          62.47 
            922 |          32.43 |          81.62 |          57.42 |          62.88 
            923 |          31.12 |          82.17 |          57.86 |          63.06 
            924 |          33.78 |          81.83 |          57.20 |          62.38 
            925 |          32.05 |          81.67 |          57.85 |          62.50 
            926 |          32.74 |          81.30 |          57.55 |          62.72 
            927 |          36.60 |          81.47 |          57.61 |          62.65 
            928 |          31.86 |          81.77 |          58.18 |          62.90 
            929 |          29.86 |          82.20 |          58.25 |          62.78 
            930 |          32.05 |          81.89 |          58.49 |          63.25 
            931 |          31.58 |          81.80 |          57.37 |          62.65 
            932 |          30.27 |          81.84 |          58.05 |          63.05 
            933 |          35.37 |          82.00 |          57.50 |          62.90 
            934 |          33.28 |          81.80 |          57.09 |          62.89 
            935 |          35.17 |          82.18 |          58.13 |          62.67 
            936 |          31.76 |          82.27 |          58.40 |          62.61 
            937 |          29.51 |          82.10 |          57.71 |          62.80 
            938 |          32.51 |          82.20 |          57.71 |          62.76 
            939 |          34.03 |          81.92 |          57.45 |          62.92 
            940 |          29.11 |          81.37 |          57.63 |          63.19 
            941 |          33.95 |          81.44 |          56.74 |          63.13 
            942 |          31.68 |          81.92 |          56.94 |          62.97 
            943 |          36.57 |          82.32 |          58.35 |          62.94 
            944 |          33.66 |          82.33 |          58.59 |          63.20 
            945 |          33.90 |          82.36 |          58.82 |          63.95 
            946 |          31.55 |          81.53 |          57.86 |          62.83 
            947 |          31.90 |          81.61 |          58.02 |          63.19 
            948 |          30.07 |          81.93 |          58.02 |          63.69 
            949 |          36.55 |          82.01 |          56.99 |          63.08 
            950 |          36.21 |          82.27 |          57.92 |          63.58 
            951 |          34.13 |          82.57 |          58.20 |          63.05 
            952 |          33.48 |          81.76 |          56.89 |          62.64 
            953 |          33.51 |          82.30 |          57.60 |          63.04 
            954 |          34.90 |          82.20 |          56.79 |          62.61 
            955 |          32.40 |          81.75 |          56.57 |          62.53 
            956 |          30.87 |          82.25 |          58.26 |          62.67 
            957 |          33.05 |          81.62 |          56.91 |          62.97 
            958 |          32.46 |          82.15 |          57.82 |          62.80 
            959 |          33.01 |          82.10 |          58.15 |          62.81 
            960 |          29.92 |          82.03 |          57.83 |          63.31 
            961 |          31.03 |          82.11 |          58.12 |          63.31 
            962 |          33.73 |          81.99 |          57.38 |          63.07 
            963 |          32.40 |          82.50 |          58.19 |          63.25 
            964 |          32.09 |          82.56 |          57.46 |          63.70 
            965 |          32.64 |          81.92 |          57.34 |          63.21 
            966 |          34.15 |          82.13 |          57.48 |          63.54 
            967 |          36.57 |          82.57 |          57.80 |          63.16 
            968 |          34.45 |          82.43 |          57.89 |          63.63 
            969 |          31.88 |          82.70 |          58.36 |          63.40 
            970 |          30.49 |          82.70 |          58.61 |          63.30 
            971 |          34.99 |          82.21 |          57.87 |          62.75 
            972 |          36.69 |          82.67 |          58.24 |          63.23 
            973 |          30.07 |          82.19 |          58.17 |          63.21 
            974 |          33.97 |          82.71 |          58.79 |          63.82 
            975 |          34.26 |          82.09 |          57.99 |          63.98 
            976 |          33.37 |          82.19 |          56.84 |          63.91 
            977 |          31.46 |          82.37 |          57.29 |          63.89 
            978 |          34.51 |          82.43 |          57.66 |          63.89 
            979 |          32.80 |          82.20 |          57.35 |          62.93 
            980 |          35.30 |          82.66 |          58.33 |          63.36 
            981 |          31.08 |          82.62 |          58.50 |          64.08 
            982 |          34.65 |          82.06 |          57.53 |          63.61 
            983 |          34.04 |          82.83 |          58.74 |          64.16 
            984 |          32.42 |          82.56 |          58.41 |          63.56 
            985 |          32.19 |          82.39 |          58.57 |          63.42 
            986 |          31.21 |          82.22 |          57.38 |          63.39 
            987 |          34.01 |          82.27 |          57.56 |          63.59 
            988 |          33.81 |          82.11 |          57.46 |          63.48 
            989 |          34.62 |          82.14 |          57.32 |          63.19 
            990 |          30.85 |          81.77 |          56.71 |          62.30 
            991 |          31.95 |          82.19 |          56.55 |          63.24 
            992 |          31.96 |          82.45 |          57.39 |          63.15 
            993 |          27.89 |          82.72 |          58.04 |          63.49 
            994 |          33.72 |          81.99 |          56.99 |          62.84 
            995 |          33.37 |          82.63 |          57.28 |          63.13 
            996 |          29.99 |          81.83 |          57.11 |          62.80 
            997 |          30.05 |          81.69 |          57.03 |          62.68 
            998 |          33.20 |          82.12 |          57.61 |          63.00 
            999 |          34.52 |          82.56 |          57.89 |          63.04 
           1000 |          31.80 |          82.74 |          57.09 |          62.91 
           1001 |          35.11 |          82.25 |          57.86 |          63.10 
           1002 |          30.59 |          82.99 |          57.95 |          62.78 
           1003 |          33.08 |          83.22 |          57.64 |          63.28 
           1004 |          31.54 |          82.63 |          57.41 |          62.61 
           1005 |          32.91 |          82.10 |          57.37 |          63.07 
           1006 |          34.21 |          82.88 |          57.81 |          62.90 
           1007 |          33.23 |          82.83 |          57.23 |          63.08 
           1008 |          29.92 |          82.44 |          56.80 |          62.87 
           1009 |          31.66 |          82.31 |          57.35 |          63.03 
           1010 |          32.65 |          82.33 |          58.29 |          62.93 
           1011 |          35.22 |          81.96 |          56.89 |          63.20 
           1012 |          30.07 |          82.46 |          57.23 |          62.95 
           1013 |          36.32 |          82.60 |          58.47 |          63.27 
           1014 |          30.80 |          82.05 |          56.84 |          63.07 
           1015 |          31.52 |          82.47 |          56.56 |          63.16 
           1016 |          30.13 |          82.60 |          56.92 |          63.38 
           1017 |          31.08 |          82.84 |          58.77 |          63.21 
           1018 |          32.48 |          82.87 |          58.68 |          63.59 
           1019 |          34.42 |          82.65 |          58.49 |          63.34 
           1020 |          31.12 |          82.34 |          57.42 |          63.04 
           1021 |          29.31 |          81.92 |          57.08 |          62.73 
           1022 |          28.84 |          82.10 |          57.81 |          63.14 
           1023 |          29.82 |          82.58 |          58.10 |          63.38 
           1024 |          33.22 |          82.10 |          58.02 |          63.09 
           1025 |          35.59 |          82.14 |          57.91 |          63.16 
           1026 |          29.94 |          82.34 |          57.56 |          63.61 
           1027 |          33.97 |          83.30 |          59.85 |          64.45 
           1028 |          33.63 |          81.99 |          57.48 |          63.08 
           1029 |          35.23 |          82.97 |          58.35 |          63.80 
           1030 |          34.10 |          82.72 |          58.25 |          63.49 
           1031 |          37.60 |          82.71 |          58.19 |          63.89 
           1032 |          31.73 |          82.04 |          57.08 |          62.87 
           1033 |          33.62 |          82.20 |          57.00 |          62.97 
           1034 |          34.94 |          82.85 |          57.76 |          63.37 
           1035 |          30.66 |          82.24 |          56.90 |          62.54 
           1036 |          33.04 |          83.09 |          58.85 |          64.18 
           1037 |          29.57 |          82.73 |          58.56 |          63.84 
           1038 |          29.44 |          82.74 |          58.64 |          63.94 
           1039 |          31.87 |          82.68 |          58.00 |          63.02 
           1040 |          34.58 |          82.88 |          57.76 |          63.41 
           1041 |          30.86 |          82.76 |          58.06 |          63.95 
           1042 |          34.37 |          83.16 |          58.51 |          64.36 
           1043 |          28.96 |          82.75 |          57.72 |          63.71 
           1044 |          29.03 |          82.95 |          58.92 |          64.28 
           1045 |          34.38 |          83.14 |          59.36 |          64.63 
           1046 |          32.75 |          82.87 |          58.79 |          64.07 
           1047 |          28.95 |          82.79 |          59.11 |          64.51 
           1048 |          30.43 |          83.16 |          58.74 |          63.91 
           1049 |          32.53 |          82.92 |          57.81 |          64.41 
           1050 |          29.65 |          82.74 |          57.55 |          64.06 
           1051 |          35.98 |          82.89 |          58.33 |          64.24 
           1052 |          33.47 |          82.63 |          57.60 |          63.56 
           1053 |          33.70 |          82.57 |          57.76 |          63.74 
           1054 |          35.34 |          82.86 |          57.97 |          63.35 
           1055 |          30.53 |          82.68 |          57.96 |          63.89 
           1056 |          32.11 |          83.08 |          58.26 |          64.00 
           1057 |          33.29 |          82.91 |          58.84 |          63.89 
           1058 |          35.40 |          82.55 |          58.40 |          64.23 
           1059 |          30.73 |          82.16 |          57.12 |          63.11 
           1060 |          35.87 |          82.63 |          57.26 |          63.68 
           1061 |          30.12 |          82.76 |          57.32 |          63.99 
           1062 |          35.99 |          83.30 |          58.06 |          63.83 
           1063 |          30.38 |          82.82 |          58.61 |          64.37 
           1064 |          32.55 |          82.85 |          57.61 |          64.23 
           1065 |          33.11 |          83.09 |          58.56 |          64.26 
           1066 |          31.48 |          83.26 |          58.81 |          64.46 
           1067 |          30.46 |          83.09 |          58.80 |          64.51 
           1068 |          30.78 |          83.43 |          58.60 |          64.46 
           1069 |          31.37 |          82.94 |          58.91 |          64.37 
           1070 |          32.11 |          82.98 |          58.80 |          64.10 
           1071 |          31.33 |          82.53 |          58.22 |          64.39 
           1072 |          32.07 |          82.91 |          58.21 |          64.22 
           1073 |          30.58 |          82.59 |          58.58 |          64.41 
           1074 |          33.26 |          83.12 |          59.00 |          64.23 
           1075 |          29.61 |          82.99 |          58.83 |          64.59 
           1076 |          31.17 |          82.92 |          59.11 |          64.61 
           1077 |          34.17 |          83.09 |          58.88 |          64.70 
           1078 |          33.93 |          82.91 |          58.87 |          65.00 
           1079 |          34.01 |          82.80 |          58.90 |          64.23 
           1080 |          29.61 |          83.49 |          58.71 |          64.49 
           1081 |          31.47 |          83.06 |          57.96 |          63.96 
           1082 |          28.31 |          83.38 |          58.55 |          63.87 
           1083 |          29.37 |          83.28 |          58.96 |          64.48 
           1084 |          28.64 |          83.23 |          58.03 |          63.90 
           1085 |          28.75 |          82.88 |          57.51 |          63.66 
           1086 |          31.46 |          83.46 |          58.40 |          63.98 
           1087 |          33.52 |          83.51 |          58.54 |          63.76 
           1088 |          32.54 |          82.94 |          58.08 |          63.94 
           1089 |          31.14 |          82.73 |          57.55 |          63.74 
           1090 |          33.93 |          83.52 |          58.23 |          64.13 
           1091 |          34.40 |          83.05 |          58.75 |          64.17 
           1092 |          33.80 |          83.56 |          58.06 |          63.28 
           1093 |          34.16 |          83.42 |          58.04 |          63.44 
           1094 |          31.58 |          83.46 |          58.75 |          63.76 
           1095 |          29.00 |          83.30 |          58.16 |          63.65 
           1096 |          29.47 |          83.53 |          58.67 |          64.09 
           1097 |          31.59 |          83.36 |          58.03 |          63.73 
           1098 |          29.80 |          83.30 |          57.91 |          64.14 
           1099 |          31.74 |          83.65 |          58.15 |          64.41 
           1100 |          30.69 |          83.44 |          57.86 |          64.26 
           1101 |          30.18 |          83.45 |          57.85 |          63.99 
           1102 |          32.61 |          83.92 |          58.46 |          64.11 
           1103 |          29.20 |          83.43 |          58.30 |          64.31 
           1104 |          31.20 |          83.03 |          57.99 |          64.45 
           1105 |          33.84 |          83.56 |          57.91 |          64.13 
           1106 |          33.10 |          83.53 |          58.53 |          64.54 
           1107 |          32.59 |          83.86 |          59.34 |          64.69 
           1108 |          28.17 |          83.35 |          57.66 |          64.49 
           1109 |          33.36 |          83.29 |          57.99 |          64.28 
           1110 |          33.84 |          83.55 |          58.41 |          64.81 
           1111 |          28.91 |          83.49 |          59.31 |          64.74 
           1112 |          31.87 |          83.46 |          59.33 |          64.36 
           1113 |          30.69 |          83.48 |          58.94 |          64.34 
           1114 |          31.30 |          83.58 |          59.06 |          64.94 
           1115 |          31.80 |          83.53 |          58.36 |          64.22 
           1116 |          31.95 |          83.69 |          58.86 |          64.13 
           1117 |          29.76 |          83.68 |          59.12 |          64.71 
           1118 |          28.69 |          83.64 |          58.15 |          64.02 
           1119 |          31.19 |          84.21 |          59.08 |          64.59 
           1120 |          35.03 |          83.74 |          58.36 |          63.79 
           1121 |          32.63 |          83.72 |          58.67 |          64.05 
           1122 |          30.87 |          83.36 |          57.75 |          64.12 
           1123 |          27.74 |          83.37 |          57.97 |          64.26 
           1124 |          30.43 |          83.88 |          59.35 |          64.46 
           1125 |          28.84 |          83.38 |          58.44 |          63.98 
           1126 |          35.07 |          83.64 |          58.44 |          64.07 
           1127 |          31.78 |          83.56 |          58.90 |          63.99 
           1128 |          34.03 |          83.84 |          59.59 |          64.43 
           1129 |          32.92 |          84.01 |          58.42 |          64.14 
           1130 |          30.48 |          83.48 |          57.88 |          63.91 
           1131 |          35.86 |          83.40 |          57.62 |          63.56 
           1132 |          32.55 |          83.38 |          57.80 |          63.69 
           1133 |          30.84 |          84.05 |          58.11 |          63.99 
           1134 |          31.17 |          83.48 |          58.57 |          64.00 
           1135 |          33.66 |          83.83 |          57.69 |          63.92 
           1136 |          30.20 |          83.43 |          57.91 |          63.46 
           1137 |          31.90 |          83.79 |          58.22 |          64.00 
           1138 |          35.85 |          83.82 |          58.00 |          63.66 
           1139 |          31.49 |          83.94 |          57.69 |          63.30 
           1140 |          30.93 |          83.46 |          57.64 |          63.08 
           1141 |          27.43 |          83.64 |          57.01 |          62.72 
           1142 |          28.35 |          83.53 |          57.70 |          63.42 
           1143 |          34.19 |          83.45 |          57.18 |          62.77 
           1144 |          31.31 |          83.56 |          57.97 |          62.84 
           1145 |          31.87 |          83.82 |          58.50 |          63.65 
           1146 |          33.91 |          83.90 |          57.75 |          62.86 
           1147 |          33.93 |          84.19 |          57.65 |          63.41 
           1148 |          32.38 |          83.87 |          58.69 |          63.48 
           1149 |          30.10 |          84.17 |          58.82 |          63.60 
           1150 |          29.41 |          83.82 |          58.65 |          63.46 
           1151 |          34.78 |          84.10 |          58.30 |          63.68 
           1152 |          34.49 |          84.20 |          58.66 |          64.08 
           1153 |          32.00 |          84.15 |          58.40 |          63.29 
           1154 |          28.75 |          84.27 |          58.40 |          63.55 
           1155 |          33.34 |          84.32 |          58.77 |          63.75 
           1156 |          32.64 |          84.17 |          58.66 |          63.88 
           1157 |          29.69 |          83.80 |          58.30 |          62.98 
           1158 |          29.04 |          83.83 |          58.72 |          63.05 
           1159 |          25.90 |          83.41 |          57.46 |          62.95 
           1160 |          30.96 |          83.47 |          58.31 |          62.75 
           1161 |          30.59 |          83.27 |          58.30 |          62.72 
           1162 |          32.30 |          83.99 |          58.66 |          63.49 
           1163 |          34.61 |          84.24 |          58.82 |          63.72 
           1164 |          26.24 |          84.16 |          58.59 |          63.96 
           1165 |          27.98 |          84.07 |          59.14 |          63.81 
           1166 |          29.51 |          83.84 |          58.81 |          63.73 
           1167 |          30.84 |          84.41 |          59.06 |          63.55 
           1168 |          31.26 |          84.24 |          58.35 |          63.55 
           1169 |          30.78 |          84.10 |          58.43 |          63.92 
           1170 |          29.20 |          83.89 |          58.14 |          63.53 
           1171 |          31.53 |          84.47 |          58.43 |          64.00 
           1172 |          30.65 |          84.15 |          57.80 |          63.77 
           1173 |          33.25 |          83.76 |          57.97 |          63.44 
           1174 |          30.27 |          84.00 |          58.72 |          63.60 
           1175 |          34.54 |          83.87 |          58.27 |          63.52 
           1176 |          30.86 |          84.44 |          58.34 |          63.64 
           1177 |          31.33 |          84.18 |          57.91 |          64.37 
           1178 |          27.86 |          84.45 |          57.72 |          64.28 
           1179 |          28.60 |          84.04 |          58.42 |          63.63 
           1180 |          32.16 |          84.35 |          58.60 |          64.22 
           1181 |          35.12 |          84.24 |          58.40 |          63.24 
           1182 |          34.23 |          84.20 |          58.21 |          63.60 
           1183 |          30.44 |          84.02 |          57.99 |          63.74 
           1184 |          29.49 |          83.37 |          58.24 |          63.21 
           1185 |          28.49 |          84.13 |          59.01 |          64.11 
           1186 |          30.12 |          83.83 |          58.07 |          64.05 
           1187 |          28.36 |          84.16 |          58.27 |          63.79 
           1188 |          31.98 |          84.39 |          58.35 |          63.83 
           1189 |          31.28 |          84.39 |          58.38 |          63.81 
           1190 |          29.97 |          84.10 |          59.04 |          63.80 
           1191 |          32.39 |          84.19 |          58.59 |          63.86 
           1192 |          29.94 |          84.01 |          58.32 |          63.97 
           1193 |          30.22 |          84.11 |          58.41 |          63.89 
           1194 |          33.69 |          83.80 |          58.28 |          64.23 
           1195 |          31.41 |          83.76 |          58.18 |          64.15 
           1196 |          29.78 |          83.94 |          58.51 |          63.74 
           1197 |          34.30 |          84.13 |          57.76 |          63.91 
           1198 |          31.68 |          84.21 |          57.79 |          63.76 
           1199 |          27.62 |          83.95 |          57.74 |          63.63 
           1200 |          27.26 |          84.37 |          57.87 |          63.59 
           1201 |          31.55 |          84.67 |          58.48 |          63.70 
           1202 |          30.42 |          84.26 |          58.57 |          63.69 
           1203 |          30.72 |          84.43 |          58.97 |          64.63 
           1204 |          32.28 |          84.28 |          59.17 |          65.19 
           1205 |          28.87 |          84.38 |          58.65 |          64.23 
           1206 |          31.31 |          83.63 |          58.57 |          63.77 
           1207 |          26.88 |          84.63 |          60.03 |          65.16 
           1208 |          28.96 |          84.32 |          59.27 |          65.14 
           1209 |          31.16 |          84.54 |          58.89 |          64.50 
           1210 |          33.14 |          83.81 |          58.71 |          63.92 
           1211 |          29.07 |          84.46 |          59.33 |          64.50 
           1212 |          31.64 |          83.94 |          59.13 |          64.32 
           1213 |          33.63 |          83.81 |          58.82 |          64.18 
           1214 |          29.51 |          84.47 |          58.82 |          64.24 
           1215 |          28.32 |          84.01 |          58.38 |          64.26 
           1216 |          29.33 |          83.93 |          58.87 |          64.53 
           1217 |          30.66 |          84.01 |          57.75 |          64.00 
           1218 |          32.25 |          84.42 |          58.66 |          63.85 
           1219 |          32.08 |          84.11 |          57.91 |          63.92 
           1220 |          30.54 |          83.85 |          59.13 |          64.65 
           1221 |          35.66 |          84.19 |          58.27 |          64.40 
           1222 |          31.96 |          83.84 |          58.44 |          64.54 
           1223 |          30.26 |          84.16 |          58.69 |          64.61 
           1224 |          28.50 |          84.47 |          58.64 |          64.49 
           1225 |          32.31 |          84.09 |          57.70 |          64.00 
           1226 |          30.83 |          84.65 |          57.95 |          63.90 
           1227 |          28.06 |          84.80 |          59.29 |          64.61 
           1228 |          29.20 |          84.72 |          59.03 |          64.76 
           1229 |          27.70 |          85.10 |          59.90 |          65.33 
           1230 |          30.56 |          84.43 |          58.67 |          64.36 
           1231 |          29.30 |          84.49 |          58.19 |          64.18 
           1232 |          29.95 |          84.69 |          58.78 |          64.78 
           1233 |          32.82 |          84.34 |          58.62 |          64.59 
           1234 |          28.63 |          84.09 |          58.85 |          64.70 
           1235 |          27.48 |          85.04 |          58.68 |          64.32 
           1236 |          27.98 |          84.43 |          58.20 |          64.57 
           1237 |          32.88 |          84.59 |          58.38 |          64.47 
           1238 |          29.86 |          84.69 |          58.39 |          64.24 
           1239 |          31.60 |          84.63 |          58.45 |          64.47 
           1240 |          28.08 |          84.40 |          58.79 |          64.91 
           1241 |          27.35 |          84.54 |          57.93 |          64.85 
           1242 |          33.09 |          84.69 |          58.96 |          65.09 
           1243 |          30.27 |          84.83 |          58.19 |          65.12 
           1244 |          30.99 |          83.72 |          57.60 |          63.31 
           1245 |          31.05 |          84.86 |          59.09 |          64.20 
           1246 |          31.89 |          84.50 |          58.17 |          64.39 
           1247 |          27.05 |          84.50 |          58.83 |          64.29 
           1248 |          30.99 |          84.60 |          57.79 |          64.22 
           1249 |          29.98 |          84.96 |          58.84 |          64.52 
           1250 |          32.60 |          84.60 |          58.57 |          64.92 
           1251 |          29.59 |          84.42 |          58.88 |          65.10 
           1252 |          29.49 |          84.02 |          58.60 |          65.38 
           1253 |          29.62 |          84.04 |          58.29 |          64.70 
           1254 |          31.61 |          84.44 |          58.23 |          64.83 
           1255 |          29.75 |          84.49 |          58.90 |          65.16 
           1256 |          27.12 |          84.15 |          59.56 |          65.28 
           1257 |          30.17 |          84.54 |          58.13 |          64.90 
           1258 |          28.19 |          83.87 |          58.07 |          64.10 
           1259 |          31.01 |          84.46 |          58.62 |          64.86 
           1260 |          30.54 |          84.47 |          59.30 |          64.89 
           1261 |          28.40 |          84.46 |          58.95 |          64.77 
           1262 |          29.16 |          84.40 |          58.36 |          64.42 
           1263 |          30.64 |          85.06 |          59.08 |          65.19 
           1264 |          32.04 |          84.65 |          58.74 |          64.83 
           1265 |          31.55 |          84.79 |          58.35 |          64.70 
           1266 |          27.05 |          84.08 |          57.53 |          63.84 
           1267 |          30.92 |          84.22 |          57.72 |          64.16 
           1268 |          29.47 |          84.83 |          58.67 |          64.47 
           1269 |          31.54 |          84.69 |          58.28 |          64.34 
           1270 |          31.63 |          84.92 |          58.75 |          64.87 
           1271 |          29.84 |          84.67 |          58.75 |          64.63 
           1272 |          29.97 |          84.68 |          58.51 |          64.44 
